,score,step_count
0,-1,5
1,6,3
2,1,4
3,0,17
4,-2,6
5,1,8
6,7,10
7,0,4
8,6,5
9,5,5
10,-1,15
11,0,5
12,5,6
13,0,5
14,0,3
15,1,6
16,-1,6
17,3,6
18,8,10
19,0,4
20,6,13
21,7,12
22,6,11
23,5,3
24,5,4
25,-1,4
26,6,3
27,5,4
28,4,6
29,6,3
30,7,8
31,5,7
32,8,8
33,6,3
34,9,12
35,0,3
36,2,9
37,6,5
38,4,13
39,9,14
40,6,8
41,6,7
42,8,5
43,8,13
44,5,7
45,7,7
46,6,3
47,2,14
48,-1,4
49,5,6
50,5,2
51,8,7
52,4,8
53,4,20
54,7,17
55,5,11
56,0,2
57,4,9
58,1,5
59,8,8
60,6,11
61,13,25
62,8,8
63,6,7
64,8,6
65,6,3
66,6,8
67,-1,5
68,9,6
69,1,5
70,9,10
71,-2,3
72,-1,6
73,6,9
74,5,7
75,8,10
76,9,7
77,0,3
78,8,6
79,8,4
80,2,3
81,5,15
82,8,5
83,-3,5
84,7,8
85,3,3
86,0,4
87,7,7
88,8,4
89,8,8
90,5,12
91,0,3
92,8,6
93,1,9
94,6,17
95,7,8
96,8,28
97,0,5
98,3,13
99,8,14
